time,temperature
2026-02-11 20:18:13.481+00,24.79
2026-02-11 20:18:18.441+00,25.14
2026-02-11 20:18:23.35+00,24.65
2026-02-11 20:18:28.319+00,24.75
2026-02-11 20:18:33.386+00,25.09
2026-02-11 20:18:38.319+00,25.35
2026-02-11 20:18:43.422+00,25.43
2026-02-11 20:18:48.321+00,24.83
2026-02-11 20:18:57.347+00,25.42
2026-02-11 20:19:02.264+00,24.66
2026-02-11 20:19:07.287+00,24.68
2026-02-11 20:19:12.234+00,24.64
2026-02-11 20:19:17.247+00,25.02
2026-02-11 20:19:22.238+00,24.62
2026-02-11 20:19:27.326+00,24.97
2026-02-11 20:19:34.007+00,24.51
2026-02-11 20:19:37.235+00,24.57
2026-02-11 20:19:42.235+00,24.99
2026-02-11 20:19:47.236+00,24.5
2026-02-11 20:19:52.336+00,24.52
2026-02-11 20:19:57.251+00,24.96
2026-02-11 20:20:02.27+00,25.37
2026-02-11 20:20:07.236+00,25.42
2026-02-11 20:20:12.243+00,24.66
2026-02-11 20:20:17.345+00,24.5
2026-02-11 20:20:22.338+00,24.55
2026-02-11 20:20:27.255+00,24.66
2026-02-11 20:20:32.249+00,25.35
2026-02-11 20:20:37.289+00,25.24
2026-02-11 20:20:42.316+00,25.47
2026-02-11 20:20:47.235+00,25.43
2026-02-11 20:20:52.359+00,24.95
2026-02-11 20:20:57.257+00,24.56
2026-02-11 20:21:02.275+00,24.79
2026-02-11 20:21:07.295+00,24.64
2026-02-11 20:21:12.311+00,24.78
2026-02-11 20:21:17.33+00,24.87
2026-02-11 20:21:22.345+00,24.55
2026-02-11 20:21:27.234+00,25.44
2026-02-11 20:21:32.235+00,25.38
2026-02-11 20:21:37.297+00,25.2
2026-02-11 20:21:42.232+00,24.56
2026-02-11 20:21:47.331+00,24.95
2026-02-11 20:21:52.356+00,24.85
2026-02-11 20:21:57.264+00,25.09
2026-02-11 20:22:02.281+00,24.94
2026-02-11 20:22:07.299+00,25.11
2026-02-11 20:22:12.318+00,25.01
2026-02-11 20:22:17.336+00,24.84
2026-02-11 20:22:22.374+00,24.63
2026-02-11 20:22:27.269+00,24.56
2026-02-11 20:22:32.29+00,25.42
2026-02-11 20:22:37.303+00,24.7
2026-02-11 20:22:42.32+00,25.16
2026-02-11 20:22:47.336+00,25.37
2026-02-11 20:22:52.254+00,25.34
2026-02-11 20:22:57.271+00,25.15
2026-02-11 20:23:02.287+00,25.15
2026-02-11 20:23:07.308+00,25.03
